Date,time,query,response
12/12/2021,18:21,2 + 2,Something went wrong?
12/12/2021,18:21,weather of next 5 days,My pleasure sir
12/12/2021,19:26,who is the lawn musk,wikipedia
12/12/2021,19:31,who is elon musk,wikipedia
12/12/2021,19:31,who is elon musk,wikipedia
12/12/2021,19:31,google photosynthesis,google
12/12/2021,19:31,google photosynthesis,google
12/12/2021,19:31,what is photosynthesis,"Oops!, can I help?"
12/12/2021,19:39,how are you,"Fantastic, what about you ? "
12/12/2021,19:39,fine,cool..!
12/12/2021,20:34,so it was the first and it has got an active and now whatever,google
12/13/2021,18:49,how are you,"absolutely fine, what about you ? "
12/13/2021,20:49:55,hello,"Hi there, how can I help?"
12/13/2021,20:49:55,hello,"Hi there, how can I help?"
12/13/2021,20:49:55,hello,Good to see you again!
12/13/2021,20:49:55,hello,Here's your assistant
12/13/2021,20:56:45,hello,Nice to meet you sir
12/13/2021,20:57:51,hello,Nice to meet you sir
12/13/2021,20:57:51,how you doin,"just, analyzing the data, what about you?"
12/13/2021,20:57:51,good work,Nice to hear that sir
12/13/2021,20:57:51,ok,My pleasure sir
12/13/2021,21:07:05,hello,How are you sir
12/13/2021,21:07:16,fine,"Yeah, That's a relief"
12/13/2021,21:07:24,how you doin,"just, analyzing the data, what about you?"
12/13/2021,21:07:42,can you tell me about photosynthesis,"Fantastic, what about you ? "
12/13/2021,21:10:27,hello,Hello Sir
12/13/2021,21:15:13,hello,Welcome Sir
12/13/2021,21:15:28,how are you,"Surfing over the internet, what about you? "
12/13/2021,21:15:37,nothing,wait
12/13/2021,21:15:50,hello,How are you sir
12/13/2021,21:16:08,what is photosynthesis,wolfram
12/13/2021,21:16:15,ok,"Yeah, That's a relief"
12/13/2021,21:18:09,ok,"Yeah, That's a relief"
12/13/2021,21:20:48,hello,Hello Sir
12/13/2021,21:24:45,tell me news,news
12/13/2021,21:25:43,tell me news,news
12/13/2021,21:25:52,hello,How are you sir
12/13/2021,21:26:01,hello,Nice to meet you sir
12/13/2021,21:47:12,how is it going on,"Surfing over the internet, what about you? "
12/13/2021,21:51:48,hello,Here's your assistant
12/13/2021,21:51:55,hello,Nice to meet you sir
12/13/2021,21:52:07,good grief,That feels better
12/13/2021,21:52:17,nope,Negative
12/13/2021,21:53:06,positive,wolfram
12/13/2021,21:53:17,good,"Yeah, That's a relief"
12/13/2021,21:53:28,wait,wait
12/13/2021,21:53:28,wait,wait
12/13/2021,22:01:36,hello,Here's your assistant
12/13/2021,22:02:05,hello,Nice to meet you sir
12/13/2021,22:02:12,how do you do,"Just doing my stuff, what about you ?"
12/13/2021,22:02:21,ok,My pleasure sir
12/13/2021,22:09:51,alexa,google
12/13/2021,22:10:22,hello,How are you sir
12/13/2021,22:10:30,good,My pleasure sir
12/13/2021,22:10:39,ok,"Yeah, That's a relief"
12/13/2021,22:17:08,tell me the current time,Current time is 
12/13/2021,22:17:11,tell me the current time,Current time is 
12/13/2021,22:32:04,Entered,Entered
12/13/2021,22:34:05,Entered,Entered
12/13/2021,22:34:16,hello,"Hi there, how can I help?"
12/13/2021,22:34:26,how is it going,"Just doing my stuff, what about you ?"
12/13/2021,22:38:02,Entered,Entered
12/13/2021,22:38:09,hello,Nice to meet you sir
12/13/2021,22:45:43,Entered,Entered
12/13/2021,22:45:49,hello,Hello Sir
12/13/2021,22:46:04,how are you doing,"Fine sir, what about you ? "
12/13/2021,22:46:12,good,That feels better
12/13/2021,22:51:13,Entered,Entered
12/13/2021,22:51:19,hello,Nice to meet you sir
12/13/2021,22:51:28,how is it going on,"Surfing over the internet, what about you? "
12/13/2021,22:51:40,nothing,wait
12/13/2021,22:52:15,nothing,wait
12/13/2021,22:52:51,bye,Bye
12/13/2021,22:56:47,Entered,Entered
12/13/2021,22:56:55,hello,Nice to meet you sir
12/13/2021,22:57:03,how is it going on,"absolutely good, what about you? "
12/13/2021,22:57:13,good here as well,"Yeah, That's a relief"
12/13/2021,22:57:50,time is relative,time
12/13/2021,23:02:15,Entered,Entered
12/13/2021,23:02:21,hello,Welcome Sir
12/13/2021,23:02:34,ok,cool..!
12/14/2021,19:14:42,Entered,Entered
12/14/2021,19:29:05,Entered,Entered
12/14/2021,19:29:16,hello yes sir and you wake up covid-19,wait
12/14/2021,19:37:15,Entered,Entered
12/14/2021,19:37:29,news bulletin,news
12/14/2021,19:39:07,Entered,Entered
12/14/2021,19:39:18,talash detail mein news,news
12/14/2021,19:51:04,Entered,Entered
12/14/2021,19:51:17,gand mar,wolfram
12/14/2021,19:54:32,Entered,Entered
12/14/2021,20:49:15,Entered,Entered
12/14/2021,21:23:39,Entered,Entered
12/14/2021,21:28:24,Entered,Entered
12/14/2021,21:30:39,Entered,Entered
12/14/2021,21:30:58,,Something went wrong?
12/14/2021,21:31:01,,Something went wrong?
12/14/2021,21:31:17,,Is there anything I can help you with?
12/14/2021,21:31:18,,Is there anything I can help you with?
12/14/2021,21:32:50,Entered,Entered
12/14/2021,21:33:01,,"Oops!, can I help?"
12/14/2021,21:33:02,,"Oops!, can I help?"
12/15/2021,23:46:02,Entered,Entered
12/15/2021,23:46:07,hello,Hello Sir
12/15/2021,23:46:16,google elon musk,google
12/15/2021,23:46:24,,"Oops!, can I help?"
12/15/2021,23:46:25,,"Oops!, can I help?"
12/15/2021,23:46:35,stop,wait
12/15/2021,23:46:42,,How can I amaze you?
12/15/2021,23:46:44,,How can I amaze you?
12/16/2021,18:09:25,Entered,Entered
12/16/2021,18:09:36,hello,wolfram
12/16/2021,18:09:52,hello,wolfram
12/16/2021,18:10:05,what is going on,wolfram
12/16/2021,18:10:27,ok,wolfram
12/16/2021,18:12:10,Entered,Entered
12/16/2021,18:12:20,hello,Good to see you again!
12/16/2021,18:12:24,hello,Good to see you again!
12/16/2021,18:12:44,,Good to see you again!
12/16/2021,18:13:26,Entered,Entered
12/16/2021,18:13:34,hello,Here's your assistant
12/16/2021,18:13:39,hello,Here's your assistant
12/16/2021,18:14:47,Entered,Entered
12/16/2021,18:14:58,hello,Nice to meet you sir
12/16/2021,18:17:00,Entered,Entered
12/16/2021,18:20:33,Entered,Entered
12/16/2021,18:20:44,hello,Here's your assistant
12/16/2021,18:25:18,Entered,Entered
12/16/2021,18:25:31,hello,How are you sir
,,,
12/16/2021,18:29:04,Entered,Entered
12/16/2021,18:31:56,Entered,Entered
12/16/2021,18:36:08,Entered,Entered
12/16/2021,18:36:13,google,google
12/16/2021,18:47:55,Entered,Entered
12/16/2021,18:48:47,,finally_googled
12/16/2021,18:50:09,Entered,Entered
12/16/2021,18:58:24,Entered,Entered
12/18/2021,20:18:43,Entered,Entered
12/18/2021,20:18:49,hello,Hello Sir
12/18/2021,20:18:58,how are you doing,"Fantastic, what about you ? "
12/18/2021,20:19:39,kind,wolfram
12/18/2021,20:19:57,what is photosynthesis,wolfram
12/18/2021,20:20:04,google photosynthesis,Welcome Sir
12/18/2021,20:20:32,Entered,Entered
12/18/2021,20:20:39,google photosynthesis,"Hi there, how can I help?"
12/18/2021,20:21:21,Entered,Entered
12/18/2021,20:21:29,google photosynthesis,Welcome Sir
12/18/2021,20:24:04,Entered,Entered
12/18/2021,20:24:11,google photosynthesis,google
12/18/2021,20:24:28,goog,wolfram
12/18/2021,20:24:33,hello,Nice to meet you sir
12/18/2021,20:24:40,nice,"Yeah, That's a relief"
12/18/2021,20:24:48,who is elon musk,wikipedia
12/18/2021,20:25:26,latest trends in stock market,playmusic
12/18/2021,20:25:51,Entered,Entered
12/18/2021,20:26:05,trends in stock market,wolfram
12/18/2021,20:26:17,trends in stock market,wolfram
12/18/2021,20:37:29,Entered,Entered
12/18/2021,20:37:34,hello,Nice to meet you sir
12/18/2021,20:37:42,how is it going,"Just gathering some data, what about you ? "
12/18/2021,20:37:52,are google photo sentences,google
12/18/2021,20:38:04,who is elon musk,wikipedia
12/18/2021,20:38:43,stock market trends,wolfram
12/18/2021,20:40:41,Entered,Entered
12/18/2021,20:40:46,hello,How are you sir
12/18/2021,20:41:11,good,My pleasure sir
12/18/2021,20:41:19,ok,Nice to hear that sir
12/18/2021,20:41:29,stock market trends,wlofram in 0.2 zone
12/18/2021,20:41:30,stock market trends,finally_googled
12/19/2021,19:06:10,Entered,Entered
12/19/2021,19:06:17,hello,How are you sir
12/19/2021,19:06:23,fine,"Yeah, That's a relief"
12/19/2021,19:06:31,ok google elon musk,location
12/19/2021,19:06:44,Entered,Entered
12/19/2021,19:06:52,a google on musk,google
12/19/2021,19:07:14,Entered,Entered
12/20/2021,12:53:57,Entered,Entered
12/20/2021,12:54:05,hello,Good to see you again!
12/20/2021,12:54:12,thank you,Thank you
12/20/2021,12:54:15,thank you,wlofram in 0.2 zone
12/20/2021,12:54:48,Entered,Entered
12/20/2021,12:54:54,alexa,Negative
12/20/2021,12:56:32,Entered,Entered
12/20/2021,12:56:45,hello,Here's your assistant
12/20/2021,12:56:52,news,news
12/20/2021,12:57:47,stock market news,news
12/24/2021,16:39:11,Entered,Entered
12/24/2021,16:39:21,alexa,Negative
12/24/2021,16:42:27,Entered,Entered
12/24/2021,16:42:32,alexa,Negative
12/24/2021,16:45:20,Entered,Entered
12/24/2021,16:45:30,alexa,Negative
12/24/2021,16:49:26,Entered,Entered
12/24/2021,16:49:32,alexa,Negative
12/24/2021,16:52:48,Entered,Entered
12/24/2021,16:53:38,Entered,Entered
12/24/2021,16:53:47,alexa,Negative
12/24/2021,16:53:50,alexa,wlofram in 0.2 zone
12/24/2021,16:53:50,alexa,google in 0.2 zone
12/24/2021,16:57:26,Entered,Entered
12/24/2021,16:57:33,quit,Goodbye!
12/24/2021,21:56:31,Entered,Entered
12/24/2021,21:56:41,hello,"Hi there, how can I help?"
12/24/2021,21:56:57,indian alexa,Something went wrong?
12/24/2021,21:57:01,indian alexa,wlofram in 0.2 zone
12/24/2021,21:57:13,alexa,"Oops!, can I help?"
12/24/2021,21:57:17,alexa,wlofram in 0.2 zone
12/24/2021,21:57:17,alexa,google in 0.2 zone
12/24/2021,21:57:55,Entered,Entered
12/24/2021,21:58:11,Entered,Entered
12/24/2021,21:58:27,aavishkar pandit wikipedia,Is there anything I can help you with?
12/24/2021,21:58:31,aavishkar pandit wikipedia,wlofram in 0.2 zone
12/24/2021,21:58:31,aavishkar pandit wikipedia,google in 0.2 zone
12/24/2021,21:58:52,presentation on induction for a first year today,date
12/24/2021,22:00:44,Entered,Entered
12/24/2021,22:01:29,Entered,Entered
12/24/2021,22:01:37,narendra modi wikipedia,"Let me refresh your mood then, what can I do?"
12/24/2021,22:01:40,narendra modi wikipedia,wlofram in 0.2 zone
12/27/2021,22:08:56,Entered,Entered
12/27/2021,22:13:07,Entered,Entered
12/27/2021,22:13:21,hello,Here's your assistant
12/27/2021,22:13:33,video mind telling me the current time please,Current time is 
12/27/2021,22:13:46,thank you for your response,Nice to hear that
12/27/2021,22:13:51,thank you for your response,wlofram in 0.2 zone
12/27/2021,22:13:51,thank you for your response,finally_googled
1/30/2022,16:27:03,Entered,Entered
1/30/2022,16:27:12,how is it going,"Just doing my stuff, what about you ?"
1/30/2022,16:27:26,stop,wait
2/5/2022,13:36:48,Entered,Entered
2/5/2022,13:36:54,dekho gazal hello,Welcome Sir
2/6/2022,14:47:03,Entered,Entered
2/6/2022,14:47:12,show me direction,wlofram in 0.2 zone
2/6/2022,14:47:13,show me direction,finally_googled
2/6/2022,14:52:41,Entered,Entered
2/6/2022,14:52:45,look in front of me,obj_detect
2/6/2022,14:53:27,ek bar pareshan bola and fir bhi aapki activator hai,wlofram in 0.2 zone
2/6/2022,14:53:28,ek bar pareshan bola and fir bhi aapki activator hai,finally_googled
2/6/2022,14:53:37,are mujhe nahin a raha,wlofram in 0.2 zone
2/6/2022,14:53:37,are mujhe nahin a raha,finally_googled
2/6/2022,14:58:50,Entered,Entered
2/6/2022,14:59:02,Entered,Entered
2/6/2022,14:59:10,look ahead,obj_detect
2/6/2022,16:07:03,Entered,Entered
2/6/2022,16:07:09,look in front of me,obj_detect
2/6/2022,16:07:44,it will ask me like who is this person and then it is going to train and eat,Thankyou sir
2/6/2022,16:07:48,it will ask me like who is this person and then it is going to train and eat,wlofram in 0.2 zone
2/6/2022,16:07:49,it will ask me like who is this person and then it is going to train and eat,finally_googled
2/6/2022,16:07:57,more than 5 times it will stop automatically,wait
2/6/2022,16:08:06,you can see this face recognition going for face recognition actually,Nice to hear that
2/6/2022,16:08:17,going for face recognition here so we have just returned pass here for now but when the physical,"just, analyzing the data, what about you?"
2/6/2022,16:08:26,alexa stop,wait
2/6/2022,16:08:39,food that your feet alif labour so this is what,wlofram in 0.2 zone
2/6/2022,16:08:39,food that your feet alif labour so this is what,finally_googled
2/6/2022,16:08:46,sweet,wlofram in 0.2 zone
2/6/2022,16:08:46,sweet,finally_googled
2/6/2022,16:08:55,district court is working when we have to stop now finally we have will have to stop it,wait
2/6/2022,16:09:04,created on the same thing is came in front of,obj_detect
2/6/2022,16:18:18,Entered,Entered
2/6/2022,16:18:25,help me to get the person in front of me,obj_detect
2/6/2022,16:36:53,Entered,Entered
2/6/2022,16:37:03,look in front of me,obj_detect
2022-02-15,14:42:49,Entered,Entered
2022-02-15,14:42:55,show me the way,navigate
2022-02-15,18:16:32,Entered,Entered
2022-02-15,18:16:42,hello,wlofram in 0.2 zone
2022-02-15,18:16:53,hello,wlofram in 0.2 zone
2022-02-15,18:27:37,Entered,Entered
2022-02-15,18:27:50,hello,wlofram in 0.2 zone
2022-02-15,18:28:12,hello,wlofram in 0.2 zone
2022-02-15,18:31:28,Entered,Entered
2022-02-15,18:31:44,hello,wlofram in 0.2 zone
2022-02-15,18:34:26,Entered,Entered
2022-02-15,18:34:37,hello,wlofram in 0.2 zone
2022-02-15,18:34:49,hello,wlofram in 0.2 zone
2022-02-15,18:37:48,Entered,Entered
2022-02-15,18:37:57,hello,wlofram in 0.2 zone
2022-02-15,19:19:43,Entered,Entered
2022-02-15,19:32:49,Entered,Entered
2022-02-15,19:33:02,hello,Nice to meet you sir
2022-02-15,19:33:10,alexa,Welcome Sir
2022-02-15,19:33:18,how you doing,"absolutely fine, what about you ? "
2022-02-15,19:33:25,nice,That feels better
2022-02-15,19:33:34,can you tell me who is elon musk,wait
2022-02-15,19:33:38,can you tell me who is elon musk,wlofram in 0.2 zone
2022-02-15,19:33:39,can you tell me who is elon musk,finally_googled
2022-02-15,19:33:51,alexa,Hello Sir
2022-02-15,19:34:04,can you tell me who is elon musk,wait
2022-02-15,19:34:09,can you tell me who is elon musk,wlofram in 0.2 zone
2022-02-15,19:34:09,can you tell me who is elon musk,finally_googled
2022-02-15,19:34:27,Entered,Entered
2022-02-15,19:52:30,Entered,Entered
2022-02-15,19:52:38,hello,"Hi there, how can I help?"
2022-02-15,19:52:52,what is photosynthesis,wlofram in 0.2 zone
2022-02-15,19:53:11,what is photosynthesis,wlofram in 0.2 zone
2022-02-15,20:11:37,Entered,Entered
2022-02-15,20:11:49,hello,"Hi there, how can I help?"
2022-02-15,20:12:01,who is elon musk,wikipedia
2022-02-15,20:12:39,Entered,Entered
2022-03-10,22:49:26,Entered,Entered
2022-03-10,22:51:09,Entered,Entered
2022-03-10,22:51:15,hello,Good to see you again!
2022-03-10,22:51:23,how you doing,"Fine sir, what about you ? "
2022-03-10,22:51:30,i am fine too,"Yeah, That's a relief"
2022-03-10,22:51:38,what can you do for me,Have a good day
2022-03-10,22:51:42,what can you do for me,wlofram in 0.2 zone
2022-03-10,22:51:50,thank you,Goodbye!
2022-03-10,22:51:51,thank you,wlofram in 0.2 zone
2022-03-10,22:52:03,what is photosynthesis,wlofram in 0.2 zone
2022-03-10,22:52:19,what is photosynthesis,wlofram in 0.2 zone
2022-03-10,22:53:58,Entered,Entered
2022-03-10,22:54:03,hello,Here's your assistant
2022-03-10,22:54:10,thank you,It will be nice to meet you again
2022-03-10,22:54:12,thank you,wlofram in 0.2 zone
2022-03-10,22:57:42,Entered,Entered
2022-03-10,22:57:48,hello,Hello Sir
2022-03-10,22:57:54,how you doing,"Just doing my stuff, what about you ?"
2022-03-10,22:58:09,Entered,Entered
2022-03-10,22:58:16,who is elon musk,wikipedia
2022-03-10,22:58:59,thank you,Sad to see you go :(
2022-03-10,23:04:03,Entered,Entered
2022-03-10,23:04:08,hello,Good to see you again!
2022-03-10,23:04:15,how are you,"Fantastic, what about you ? "
2022-03-10,23:04:24,i am fine,My pleasure sir
2022-03-10,23:04:38,elon musk,wlofram in 0.2 zone
2022-03-10,23:04:45,who is elon musk,wikipedia
2022-03-10,23:05:22,thank you,Sad to see you go :(
